Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
Travel Agents,AL RIFA TRAVELS,"NO 87,MAIN STREET,MAWANELLA",,Kegalle,Kegalle,Mawanella Divisional Secretariat
Travel Agents,SADDLE TOURS INTERNATIONAL (PVT) LTD,"COLOMBO RD,581,3RD KURANA,NEGOMBO",,Gampaha,Negombo,Negombo Divisional Secretariat
Travel Agents,ABANS TOURS (PVT)LTD,"498, GALLE ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,REEMA HAJ TRAVEL & TOURS,"MAIN STREET,KATTANKUDY 06",,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat
Travel Agents,THAMBAPANNI TREASURES (PVT) LTD,"306 1/1,GALLE ROAD,MT LAVINIA,SRI LANKA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,GRAND HOLIDAYS,"NO:966/4 I,PANNIPITIYA ROAD,PELEWATTA,BATTARAMULLA",,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
Travel Agents,AKIYO LANKA (PVT) LTD,"534,LIO ROAD,SINHARAMULLA,KELANIYA",,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
Travel Agents,BRITEWAY TRAVELS AND TOURS,"773/A,BASELINE ROAD,ORUGODAWATTA,COLOMBO 09",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,TRANSTOURS & TRAVELS,"NO:129/1,JAYANTHA WEERASEKARA MAWATHA,COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,LANKA COMMUNITY TRAVELS,"NO:230,AVISSAWELLA ROAD,KOTIKAWATTA,ANGODA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,PARADISE TOURS AND LEISURE PRIVATE LIMITED,"L1 44 ,REALITY PLAZA,JA ELA",,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat
Travel Agents,FAIR TRAVELS,"215, 1ST FLOOR , GRANDPASS ROAD, COLOMBO -14",,Kandy,Kandy,Kandy Divisional Secretariat
Travel Agents,AL BAYAN TRAVELS AND TOURS,"NO:198,MAIN STREET,ERAVUR",,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat
Travel Agents,MUNA TRAVELS AND TOURS,"NO 53,1ST FLOOR,JAYANTHA WEERASEKARA MAWATTE,COLOMBO 10",,Anuradhapura,Colombo,Colombo Divisional Secretariat
Travel Agents,ACRUS TRAVEL & TOURS (PVT) LTD,"2/3,BUILDING NO:88,JUSICE AKBAR MAWATHA,COLOMBO 2",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,S LANKA 360 (PVT) LTD,"29 A,ST ANNES ROAD,WATTALA",,Colombo,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat
Travel Agents,K G N TRAVEL & TOURS,"NO 62 2/1, 03RD CROSS STREET,COLOMBO 11",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,DELUXE VACATIONS (PVT) LTD,"NO. 45/B, PAGODA ROAD, NUGEGODA",,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
Travel Agents,PAN GLOBAL TRAVELS & TOURS (PVT)LTD,"NO:303,GALLE ROAD,COLOMBO 3",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,LYCAFLY(PVT)LTD,"NO. 08, KINROSS AVENUE, COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,YA TRADING INTERNATIONAL (PVT)LTD,"NO:187,WARD PLACE,COLOMBO 07",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SPARTON TRAVELS (PVT) LTD,"NO.11,SHOPPINA COMPLEX ""C"" GREENS ROAD,NEGAMBO",,Gampaha,Negombo,Katana Divisional Secretariat
Travel Agents,MIWAMI HOLDINGS ( PVT ) LTD,"NO 171/1A KOSWATTA ROAD,KALAPALUWAWA,RAJAGIRIYA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,THAMBILI ISLAND{PVT}LTD,"NO 49 1/2,COLOMBO ROAD,BORALESGAMUWA",,Colombo,Boralesgamuwa,Dehiwala Divisional Secretariat
Travel Agents,ASIA LEISURE TRAVELS {PVT}LTD,"HOTEL TAJ SAMUDRA,25,GALLFACE CENTER ROAD,COLOMBO 3",,Colombo,Colombo,Colombo Divisional Secretariat
